X,Y,OBJECTID,TRAPTYPE,ATTRACTANTSUSED,TRAPID,LATITUDE,LONGITUDE,ADDRESS,TOWN,STATE,COUNTY,TRAPSITE,TRAPSET,SETTIMEOFDAY,TRAPCOLLECT,COLLECTTIMEOFDAY,GENUS,SPECIES,LIFESTAGE,EGGSCOLLECTED,LARVAECOLLECTED,PUPAECOLLECTED,FEMALESCOLLECTED,MALESCOLLECTED,UNKNOWNCOLLECTED,REPORTDATE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8575849.188,4719564.281,1,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/04/25 04:00:00+00,Morning,2016/04/27 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,4,3,0,2017/12/01 19:59:00+00,temp_798,{C1901EA1-CE48-47B6-943D-E96E7100481A},,,,
-8575849.188,4719564.281,2,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/06/13 04:00:00+00,Morning,2016/06/15 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,50,5,0,2017/12/05 18:08:00+00,temp_1825,{EC74BE89-4EA8-42D6-A7F4-3F3BDFC87BEF},,,,
-8575849.188,4719564.281,3,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/06/06 04:00:00+00,Morning,2016/06/08 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,2,0,0,2017/12/05 16:13:00+00,temp_1692,{F577430A-0E36-4283-9F24-8F5F9BEC551A},,,,
-8575849.188,4719564.281,4,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/09 04:00:00+00,Afternoon,2016/05/11 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,3,0,0,2017/12/04 18:40:00+00,temp_500,{61E5E55E-97AC-47B8-9160-B353346D3577},,,,
-8575849.188,4719564.281,5,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/18 04:00:00+00,Morning,2016/07/20 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,23,1,0,2017/12/07 15:40:00+00,temp_1635,{0DF0BEF3-5BE9-4CB0-A9A9-45FE96294A02},,,,
-8575849.188,4719564.281,6,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/10/17 04:00:00+00,Morning,2016/10/19 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,16,11,0,2017/12/12 20:23:00+00,temp_1178,{15FFDBD8-F948-4AA4-9899-B0FA81083DDB},,,,
-8575849.188,4719564.281,7,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/08/01 04:00:00+00,Morning,2016/08/03 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,14,0,0,2017/12/07 21:38:00+00,temp_1470,{B0E2F043-C3F2-4B4A-A2C6-E6968EBF6ED3},,,,
-8575849.188,4719564.281,8,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/09/26 04:00:00+00,Morning,2016/09/28 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,19,16,0,2017/12/12 15:58:00+00,temp_1842,{DFA66D9A-06B7-4E7A-83A8-04B50E85B6F2},,,,
-8575849.188,4719564.281,9,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/09/26 04:00:00+00,Morning,2016/09/28 04:00:00+00,Morning,Aedes,sp.,Adult,No,No,No,7,0,0,2017/12/12 15:58:00+00,temp_1843,{4B6CF83C-4ACC-439E-A302-97EEC6E2B978},,,,
-8575849.188,4719564.281,10,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/25 04:00:00+00,Morning,2016/07/27 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,12,0,0,2017/12/07 19:10:00+00,temp_1079,{049B5F4E-9466-4F86-943A-227A5A732BB1},,,,
-8575849.188,4719564.281,11,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/16 04:00:00+00,Morning,2016/05/18 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,24,0,0,2017/12/04 21:26:00+00,temp_707,{5A09A666-80B1-499B-8544-E18AF64EAB32},,,,
-8575849.188,4719564.281,12,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/23 04:00:00+00,Morning,2016/05/25 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,8,0,0,2017/12/04 22:37:00+00,temp_1087,{3C08DC79-ABD1-4D8C-815B-B75C6129183F},,,,
-8575849.188,4719564.281,13,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/02 04:00:00+00,Morning,2016/05/04 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,3,1,0,2017/12/01 21:21:00+00,temp_1571,{8B48C95E-9086-497D-986D-38C50A3390CA},,,,
-8575849.188,4719564.281,14,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/10/03 04:00:00+00,Morning,2016/10/05 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,10,6,0,2017/12/12 17:12:00+00,temp_819,{1F672AF4-EE07-4801-9708-A0449014B617},,,,
-8575849.188,4719564.281,15,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/30 04:00:00+00,Morning,2016/06/01 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,5,0,0,2017/12/04 23:55:00+00,temp_1365,{AAAF92DB-FD5C-4875-BCCB-6BFFEF5A055A},,,,
-8575849.188,4719564.281,16,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/05 04:00:00+00,Morning,2016/07/07 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,64,1,0,2017/12/06 16:05:00+00,temp_576,{F7E7879B-595C-4EF2-AED9-5674E510920D},,,,
-8575849.188,4719564.281,17,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/08/15 04:00:00+00,Morning,2016/08/17 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,6,0,0,2017/12/08 18:43:00+00,temp_1819,{70C34F1D-C5D4-4F12-A5FB-946B1186CF86},,,,
-8575849.188,4719564.281,18,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/10/11 04:00:00+00,Morning,2016/10/13 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,4,3,0,2017/12/12 18:01:00+00,temp_1010,{81763938-F59A-4516-93E9-0E7A91ED1292},,,,
-8575849.188,4719564.281,19,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/06/20 04:00:00+00,Morning,2016/06/22 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,336,31,0,2017/12/05 19:53:00+00,temp_1961,{10C081B7-6EBE-4BDA-90F3-A10CEE1124A1},,,,
-8575849.188,4719564.281,20,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/08/29 04:00:00+00,Morning,2016/08/31 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,10,1,0,2017/12/11 17:14:00+00,temp_919,{DC2C34CA-F039-46F2-A35F-96A6A80E542A},,,,
-8575849.188,4719564.281,21,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/23 04:00:00+00,Morning,2016/05/25 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,8,0,0,2017/12/04 22:36:00+00,temp_1086,{0C6571D7-1344-42E6-A69C-14D517D453EB},,,,
-8575849.188,4719564.281,22,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/06/06 04:00:00+00,Morning,2016/06/08 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,109,0,0,2017/12/05 16:14:00+00,temp_1717,{9B930A56-E2C7-44DC-8CF3-245CA0812752},,,,
-8575849.188,4719564.281,23,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/09/19 04:00:00+00,Morning,2016/09/21 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,33,0,0,2017/12/11 22:16:00+00,temp_1594,{5BD8FB71-AA95-43A3-BDD2-3EC787C3C964},,,,
-8575849.188,4719564.281,24,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/09/19 04:00:00+00,Morning,2016/09/21 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,2,0,0,2017/12/11 22:17:00+00,temp_1643,{00FB5E9D-8B2E-45D2-B24F-F61489B74DE4},,,,
-8575849.188,4719564.281,25,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/11 04:00:00+00,Morning,2016/07/13 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,75,3,0,2017/12/06 17:59:00+00,temp_1530,{A677E482-D592-43C9-BC7F-844DC8FC855C},,,,
-8575849.188,4719564.281,26,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/10/24 04:00:00+00,Morning,2016/10/26 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,8,12,0,2017/12/12 21:24:00+00,temp_1265,{BC1789B4-5A88-4095-ACDA-C5A014BBE5EE},,,,
-8575849.188,4719564.281,27,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/04/18 04:00:00+00,Morning,2016/04/20 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,7,0,0,2017/09/28 22:31:00+00,temp_371,{7F88D234-7F97-4B8D-9E86-75BCB42D5EDD},,,,
-8575849.188,4719564.281,28,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/08/22 04:00:00+00,Morning,2016/08/24 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,7,0,0,2017/12/08 20:24:00+00,temp_1914,{2FA30D40-2658-4478-8EA3-C532E3332308},,,,
-8575849.188,4719564.281,29,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/30 04:00:00+00,Morning,2016/06/01 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,105,0,0,2017/12/04 23:56:00+00,temp_1533,{8C9A4C7A-27BF-4C8D-AAE7-2CD38410E99C},,,,
-8575849.188,4719564.281,30,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/02 04:00:00+00,Morning,2016/05/04 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,2,2,0,2017/12/01 21:22:00+00,temp_1572,{84A2E32F-87E2-473F-AC54-2ACEA31DC271},,,,
-8577383.059,4718852.401,31,Gravid Trap,Hay or grass infusion,4B,38.980316,-77.051943,6880 Oregon Ave. NW,Washington,DC,District of Columbia,Residential,2017/05/10 04:00:00+00,Afternoon,2017/05/11 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,2,0,0,2017/09/12 19:12:00+00,temp_111,{8B52A980-3467-4FE0-9891-B22870DB2DC6},,,,
-8577383.059,4718852.401,32,Gravid Trap,Lure and grass infusion,4B,38.980316,-77.051943,6880 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2017/07/05 04:00:00+00,Afternoon,2017/07/06 04:00:00+00,Morning,Aedes,j. japonicus,Adult,No,No,No,2,0,0,2017/09/20 20:30:00+00,temp_403,{0F26B641-2543-4796-AB9B-711EEB34473B},,,,
-8577383.059,4718852.401,33,Gravid Trap,Lure and grass infusion,4B,38.980316,-77.051943,6880 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2017/08/09 04:00:00+00,Afternoon,2017/08/10 04:00:00+00,Morning,Aedes,j. japonicus,Adult,No,No,No,3,0,0,2017/09/26 13:43:00+00,temp_318,{F8668715-C754-410E-98E2-95604FB093EA},,,,
-8577383.059,4718852.401,34,Gravid Trap,Lure and grass infusion,4B,38.980316,-77.051943,6880 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2017/06/14 04:00:00+00,Afternoon,2017/06/15 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,3,1,0,2017/09/19 18:49:00+00,temp_147,{83868A04-5FA8-4BD4-BB25-16A63E90587D},,,,
-8577383.059,4718852.401,35,Gravid Trap,Lure and grass infusion,4B,38.980316,-77.051943,6880 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2017/07/26 04:00:00+00,Afternoon,2017/07/27 04:00:00+00,Morning,Aedes,j. japonicus,Adult,No,No,No,3,0,0,2017/09/21 22:02:00+00,temp_384,{9EA4C7FF-F527-4296-A2C4-3E16A3FF9562},,,,
-8577498.052,4717783.886,36,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/06/27 04:00:00+00,Morning,2016/06/29 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,21,2,0,2017/12/05 21:59:00+00,temp_1999,{090C182C-E37D-4B2E-A6E4-24D55A102319},,,,
-8577498.052,4717783.886,37,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/10/17 04:00:00+00,Morning,2016/10/19 04:00:00+00,Morning,Aedes,sp.,Adult,No,No,No,5,0,0,2017/12/12 20:27:00+00,temp_1181,{F59A5A22-77DC-487C-8363-4B256E1BF79B},,,,
-8577498.052,4717783.886,38,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/07/18 04:00:00+00,Morning,2016/07/20 04:00:00+00,Morning,Aedes,j. japonicus,Adult,No,No,No,2,0,0,2017/12/07 15:47:00+00,temp_1639,{7C01076F-04B9-4907-A2E6-0E0E83E2CBBF},,,,
-8577498.052,4717783.886,39,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/10/24 04:00:00+00,Morning,2016/10/26 04:00:00+00,Morning,Aedes,albopictus,Adult,No,No,No,4,0,0,2017/12/12 21:27:00+00,temp_1266,{749417F9-FB47-418C-98D9-68AB30C5827E},,,,
-8577498.052,4717783.886,40,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/05/23 04:00:00+00,Morning,2016/05/25 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,6,2,0,2017/12/04 22:41:00+00,temp_1089,{E09B9CB7-37F2-4405-B12A-8D49022BF06F},,,,
-8577498.052,4717783.886,41,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/06/06 04:00:00+00,Morning,2016/06/08 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,45,4,0,2017/12/05 16:16:00+00,temp_1718,{4CB015F5-ADF1-4318-BC46-A4BF1CE988E1},,,,
-8577498.052,4717783.886,42,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/09/06 04:00:00+00,Morning,2016/09/08 04:00:00+00,Morning,Aedes,albopictus,Adult,No,No,No,2,0,0,2017/12/11 18:20:00+00,temp_1208,{B04E66EB-AABA-47FC-87ED-1B9797A5CF60},,,,
-8577498.052,4717783.886,43,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/09/12 04:00:00+00,Morning,2016/09/14 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,2,0,0,2017/12/11 21:25:00+00,temp_869,{B88EFC5A-38EC-4D93-95AE-209FF9C39B9B},,,,
-8577498.052,4717783.886,44,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/07/25 04:00:00+00,Morning,2016/07/27 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,15,0,0,2017/12/07 19:14:00+00,temp_1081,{F56FE4D0-7D62-45E0-AB11-B2D8085CCDC1},,,,
-8577498.052,4717783.886,45,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/09/26 04:00:00+00,Morning,2016/09/28 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,3,0,0,2017/12/12 15:59:00+00,temp_1844,{9BBB5814-04E9-42C5-BAFC-FE45DA32AB5B},,,,
-8577498.052,4717783.886,46,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/08/01 04:00:00+00,Morning,2016/08/03 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,11,0,0,2017/12/07 21:43:00+00,temp_1474,{54ED9B95-7E6C-4835-B2AD-ECB46A18DC19},,,,
-8577498.052,4717783.886,47,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/05/16 04:00:00+00,Morning,2016/05/18 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,4,4,0,2017/12/04 21:30:00+00,temp_531,{EA4D3FF6-6657-4B1B-AF01-5B504B666D37},,,,
-8577498.052,4717783.886,48,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/07/11 04:00:00+00,Morning,2016/07/13 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,44,0,0,2017/12/06 18:05:00+00,temp_1559,{6FA716A9-F267-4729-8A62-B5866EBAF558},,,,
-8577498.052,4717783.886,49,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/09/06 04:00:00+00,Morning,2016/09/08 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,5,0,0,2017/12/11 18:19:00+00,temp_1207,{573F8EEF-DA5C-4F08-B2AB-68F7A38C23A8},,,,
-8577498.052,4717783.886,50,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/08/08 04:00:00+00,Morning,2016/08/10 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,3,1,0,2017/12/08 17:28:00+00,temp_1708,{D11E8D7B-7BD4-47F8-B445-074D4D0ADCA3},,,,
-8577498.052,4717783.886,51,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/06/13 04:00:00+00,Morning,2016/06/15 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,95,5,0,2017/12/05 18:12:00+00,temp_1827,{1D62F716-DE35-4D94-B94F-F0AFEA9480E0},,,,
-8577498.052,4717783.886,52,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/05/09 04:00:00+00,Morning,2016/05/11 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,10,1,0,2017/12/04 18:45:00+00,temp_502,{E010B4CC-D397-4C70-951B-C34ED1FBCFEF},,,,
-8577498.052,4717783.886,53,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/09/19 04:00:00+00,Morning,2016/09/21 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,4,0,0,2017/12/11 22:19:00+00,temp_1644,{24BB71A6-FC1C-4439-B00C-CD4A40809D24},,,,
-8577498.052,4717783.886,54,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/06/20 04:00:00+00,Morning,2016/06/22 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,39,4,0,2017/12/05 19:57:00+00,temp_1963,{D3D42149-3005-4DAF-9700-89ACE16636A4},,,,
-8577498.052,4717783.886,55,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/06/06 04:00:00+00,Morning,2016/06/08 04:00:00+00,Morning,Aedes,aegypti,Adult,No,No,No,6,0,0,2017/12/05 16:17:00+00,temp_1719,{81874F84-B775-4FE6-9D56-E028514F9364},,,,
-8577498.052,4717783.886,56,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/07/18 04:00:00+00,Morning,2016/07/20 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,29,0,0,2017/12/07 15:46:00+00,temp_1638,{DC6AA62C-45DB-48A7-BDAD-DE79F3E2E9B4},,,,
-8577498.052,4717783.886,57,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/10/17 04:00:00+00,Morning,2016/10/19 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,3,0,0,2017/12/12 20:28:00+00,temp_1182,{D2DEB375-C315-4577-BDDE-204FFD1E8BF1},,,,
-8577498.052,4717783.886,58,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/07/11 04:00:00+00,Morning,2016/07/13 04:00:00+00,Morning,Aedes,j. japonicus,Adult,No,No,No,4,0,0,2017/12/06 18:03:00+00,temp_1532,{4E3A55D6-9760-4066-9C94-E4A16445E316},,,,
-8577498.052,4717783.886,59,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/05/30 04:00:00+00,Morning,2016/06/01 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,3,0,0,2017/12/05 00:00:00+00,temp_1535,{1E1390F8-9B6D-4D31-8149-61AD3302262B},,,,
-8577498.052,4717783.886,60,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/06/20 04:00:00+00,Morning,2016/06/22 04:00:00+00,Morning,Aedes,j. japonicus,Adult,No,No,No,7,0,0,2017/12/05 19:57:00+00,temp_1964,{46FD794E-E1E8-4E2A-97DD-2958CD927598},,,,
-8577498.052,4717783.886,61,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/06/27 04:00:00+00,Morning,2016/06/29 04:00:00+00,Morning,Aedes,j. japonicus,Adult,No,No,No,3,0,0,2017/12/05 21:55:00+00,temp_2000,{55CDBC71-A795-44A5-9D07-A99679664013},,,,
-8577498.052,4717783.886,62,Gravid Trap,Hay or grass infusion,4D,38.972854,-77.052976,6300 Oregon Ave. NW,Washington,DC,District of Columbia,Urban Public Place,2016/08/29 04:00:00+00,Morning,2016/08/31 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,2,1,0,2017/12/11 17:18:00+00,temp_1047,{124B69D4-E898-428F-9C11-637EBB2F67A4},,,,
-8577500.946,4717783.744,63,Gravid Trap,Hay or grass infusion,4B,38.972853,-77.053002,6417-6419 Oregon Ave. NW,Washington,DC,District of Columbia,Rock Creek Park,2018/07/02 04:00:00+00,Afternoon,2018/07/03 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,6,0,0,2018/10/12 14:33:00+00,temp_656,{A4B3008E-E208-4325-A82C-D4DEC5995836},,,,
-8577500.946,4717783.744,64,Gravid Trap,Hay or grass infusion,4B,38.972853,-77.053002,6417-6419 Oregon Ave. NW,Washington,DC,District of Columbia,Rock Creek Park,2018/06/19 04:00:00+00,Afternoon,2018/06/20 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,2,0,0,2018/10/12 14:41:00+00,temp_1213,{D6E21F16-2111-489D-9152-9524610F2858},,,,
-8577500.946,4717783.744,65,Gravid Trap,Hay or grass infusion,4B,38.972853,-77.053002,6417-6419 Oregon Ave. NW,Washington,DC,District of Columbia,Rock Creek Park,2018/05/15 04:00:00+00,Afternoon,2018/05/16 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,2,0,0,2018/10/12 14:47:00+00,temp_938,{6BA1F275-9EC3-4325-B6F4-8DCBD343CC78},,,,
-8577500.946,4717783.744,66,Gravid Trap,Hay or grass infusion,4B,38.972853,-77.053002,6417-6419 Oregon Ave. NW,Washington,DC,District of Columbia,Rock Creek Park,2018/09/04 04:00:00+00,Afternoon,2018/09/05 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,2,0,0,2018/10/05 14:14:00+00,temp_889,{FF58E14C-71BC-45BC-B805-1A0694A30874},,,,
-8577500.946,4717783.744,67,Gravid Trap,Hay or grass infusion,4B,38.972853,-77.053002,6417-6419 Oregon Ave. NW,Washington,DC,District of Columbia,Rock Creek Park,2018/05/29 04:00:00+00,Afternoon,2018/05/30 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,5,0,0,2018/10/12 14:45:00+00,temp_794,{381C1127-D231-4EAA-A64B-D0DFA1C80D8E},,,,
-8577500.946,4717783.744,68,Gravid Trap,Hay or grass infusion,4B,38.972853,-77.053002,6417-6419 Oregon Ave. NW,Washington,DC,District of Columbia,Rock Creek Park,2018/05/15 04:00:00+00,Afternoon,2018/05/16 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,8,0,0,2018/10/12 14:50:00+00,temp_937,{0914A241-C470-49E4-9776-9297F3D02BC1},,,,
-8577500.946,4717783.744,69,Gravid Trap,Hay or grass infusion,4B,38.972853,-77.053002,6417-6419 Oregon Ave. NW,Washington,DC,District of Columbia,Rock Creek Park,2018/09/11 04:00:00+00,Afternoon,2018/09/12 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,2,0,0,2018/10/05 15:38:00+00,temp_1143,{327C97E3-36A9-44CC-A54E-F318B25106AE},,,,
